master_id,Recency,Frequency,Monetary,recency_score,frequency_score,monetary_score,RFM_SCORE,Segment,interested_in_categories_12
06f1d0c0-aea5-11e9-a2fc-000d3a38a36f,163,5,967.86,3,4,4,344,loyal_customers,"[ERKEK, KADIN]"
06f89886-74f9-11ea-bb48-000d3a38a36f,36,28,3839.1,5,5,5,555,champions,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
075aefe8-a95e-11e9-a2fc-000d3a38a36f,63,13,2690.26,5,5,5,555,champions,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]"
075b1fbe-fd68-11e9-a5e8-000d3a38a36f,34,10,1137.14,5,5,5,555,champions,"[AKTIFCOCUK, KADIN, AKTIFSPOR]"
0785c324-ac08-11e9-a2fc-000d3a38a36f,42,8,789.17,5,5,4,554,champions,[KADIN]
07b6055a-114f-11ea-8872-000d3a38a36f,56,6,1540.3,5,4,5,545,champions,"[COCUK, KADIN]"
07bcae98-a81b-11e9-a2fc-000d3a38a36f,41,8,2345.22,5,5,5,555,champions,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
07cf3fe2-bdcb-11ea-aa61-000d3a38a36f,44,5,1012.27,5,4,4,544,champions,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]"
07cf53e2-2078-11ea-87bf-000d3a38a36f,72,9,1425.54,4,5,5,455,loyal_customers,"[ERKEK, COCUK, KADIN, AKTIFSPOR]"
07d80f42-a8cc-11e9-a2fc-000d3a38a36f,32,11,1355.67,5,5,5,555,champions,"[AKTIFCOCUK, COCUK, KADIN]"
07ddfcfe-2590-11ea-b1c8-000d3a38a36f,54,8,600.65,5,5,3,553,champions,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]"
07e230d4-d668-11e9-93bc-000d3a38a36f,67,5,847.9,4,4,4,444,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
07f783c4-d6d3-11e9-93bc-000d3a38a36f,69,6,1701.04,4,4,5,445,loyal_customers,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]"
080b0bca-1340-11ea-a001-000d3a38a36f,158,7,1258.94,3,4,5,345,loyal_customers,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
082e92ca-c4ed-11ea-98f7-000d3a38a36f,61,5,674.32,5,4,4,544,champions,"[KADIN, AKTIFSPOR]"
0835b1e4-a933-11e9-a2fc-000d3a38a36f,57,6,630.56,5,4,3,543,champions,"[COCUK, KADIN]"
08615912-aaea-11e9-a2fc-000d3a38a36f,65,9,665.75,4,5,4,454,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
087c3fe4-1155-11ea-8872-000d3a38a36f,165,5,664.44,3,4,4,344,loyal_customers,"[ERKEK, KADIN]"
089c0324-a5a8-11e9-a2fc-000d3a38a36f,54,18,2408.73,5,5,5,555,champions,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
08b5c3b2-6377-11ea-a6dc-000d3a38a36f,165,5,382.39,3,4,2,342,loyal_customers,[KADIN]
08d9262c-b03f-11e9-9757-000d3a38a36f,128,5,436.44,3,4,2,342,loyal_customers,"[AKTIFCOCUK, COCUK, KADIN]"
08dcdc80-60cb-11ea-8dd8-000d3a38a36f,47,7,1228.24,5,4,5,545,champions,"[KADIN, AKTIFSPOR]"
08e67754-b1a8-11e9-89fa-000d3a38a36f,98,5,899.96,4,4,4,444,loyal_customers,"[ERKEK, COCUK, KADIN, AKTIFSPOR]"
08f0e73e-a587-11e9-a2fc-000d3a38a36f,98,10,2739.64,4,5,5,455,loyal_customers,"[COCUK, KADIN]"
090b0230-9d63-11e9-9897-000d3a38a36f,42,32,2863.32,5,5,5,555,champions,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
092be6ce-d6c2-11e9-93bc-000d3a38a36f,150,6,356.61,3,4,2,342,loyal_customers,"[AKTIFCOCUK, COCUK, KADIN]"
092f4294-15ea-11ea-aa74-000d3a38a36f,35,10,800.58,5,5,4,554,champions,"[ERKEK, KADIN, AKTIFSPOR]"
094c07ec-a2c4-11e9-a2fc-000d3a38a36f,164,16,2410.78,3,5,5,355,loyal_customers,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]"
095cb97a-2be5-11ea-91ab-000d3a38a36f,59,9,1064.13,5,5,5,555,champions,"[AKTIFCOCUK, ERKEK, COCUK, KADIN]"
095d3f44-a922-11e9-a2fc-000d3a38a36f,60,9,865.89,5,5,4,554,champions,"[ERKEK, COCUK, KADIN]"
